      1.00	      0.37	     -0.35	      0.33
      1.10	      0.33	     -0.32	      0.30
      1.20	      0.30	     -0.29	      0.27
      1.30	      0.27	     -0.26	      0.25
      1.40	      0.25	     -0.23	      0.22
      1.50	      0.22	     -0.21	      0.20
      1.60	      0.20	     -0.19	      0.18
      1.70	      0.18	     -0.17	      0.17
      1.80	      0.17	     -0.16	      0.15
      1.90	      0.15	     -0.14	      0.14
